id,clo_score_pred,severity_level,reason_text,solution_text
1,0.3745,Trung bình,Tham gia không đều trong các tuần giữa kỳ,Giao bài tập củng cố kiến thức sau mỗi buổi học
2,0.9507,Tốt,Được giảng viên đánh giá cao về thái độ và năng lực,Mời sinh viên chia sẻ kinh nghiệm tại seminar
3,0.732,Thấp,"Tích cực ghi chú, hoàn thành bài tập đúng hạn",Tăng cường thử thách nâng cao năng lực tư duy
4,0.5987,Trung bình,Tương tác hạn chế trong thảo luận nhóm,Thiết lập hệ thống điểm thưởng cho sự tham gia tích cực
5,0.156,Cao,Không truy cập hệ thống LMS trong suốt học phần,Cố vấn học tập liên hệ để nhắc nhở trực tiếp
6,0.156,Cao,Không tham gia bài tập nhóm và bài kiểm tra giữa kỳ,Cố vấn học tập liên hệ để nhắc nhở trực tiếp
7,0.0581,Cao,"Thiếu cam kết học tập, không tham gia các hoạt động CLO",Cố vấn học tập liên hệ để nhắc nhở trực tiếp
8,0.8662,Tốt,Được giảng viên đánh giá cao về thái độ và năng lực,Tạo điều kiện tham dự cuộc thi học thuật của khoa
9,0.6011,Trung bình,Tham gia điểm danh nhưng không hoàn thành bài tập,Tăng cường hoạt động nhóm trong giờ học
10,0.7081,Thấp,Sinh viên tham gia học đều và có thái độ tích cực,Tiếp tục phát huy tính chủ động và tự học
11,0.0206,Cao,"Thiếu cam kết học tập, không tham gia các hoạt động CLO",Tổ chức buổi hướng dẫn học bù trực tuyến
12,0.9699,Tốt,Sinh viên đạt thành tích xuất sắc và ổn định,Mời sinh viên chia sẻ kinh nghiệm tại seminar
13,0.8324,Thấp,Duy trì thói quen học tập ổn định,Đề xuất sinh viên hỗ trợ mentoring cho nhóm yếu
14,0.2123,Cao,"Sinh viên vắng học thường xuyên, bỏ lỡ nội dung thực hành",Thiết lập điều kiện thi: yêu cầu >=70% buổi điểm danh
15,0.1818,Cao,Không truy cập hệ thống LMS trong suốt học phần,Cố vấn học tập liên hệ để nhắc nhở trực tiếp
16,0.1834,Cao,"Thiếu cam kết học tập, không tham gia các hoạt động CLO",Xây dựng quy trình nhắc lịch tự động qua email/sms
17,0.3042,Trung bình,Không ghi chú và ôn lại kiến thức sau buổi học,Gợi ý sinh viên ôn tập bằng video bài giảng
18,0.5248,Trung bình,Tương tác hạn chế trong thảo luận nhóm,Giảng viên sử dụng bảng điểm động để phản hồi sớm
19,0.4319,Trung bình,Sinh viên đi học đầy đủ nhưng thiếu tập trung trên lớp,Thiết lập hệ thống điểm thưởng cho sự tham gia tích cực
20,0.2912,Trung bình,Không ghi chú và ôn lại kiến thức sau buổi học,Giao bài tập củng cố kiến thức sau mỗi buổi học
21,0.6119,Thấp,Có sự chuẩn bị bài trước khi lên lớp,Duy trì phương pháp học tập hiện tại
22,0.1395,Cao,"Không nộp bài đúng hạn, bỏ qua hướng dẫn của giảng viên",Giảng viên cập nhật báo cáo cảnh báo lên hệ thống QA
23,0.2921,Trung bình,Tương tác hạn chế trong thảo luận nhóm,Khuyến khích đặt câu hỏi và phản hồi trong lớp
24,0.3664,Trung bình,Tham gia điểm danh nhưng không hoàn thành bài tập,Giao bài tập củng cố kiến thức sau mỗi buổi học
25,0.4561,Trung bình,Tham gia điểm danh nhưng không hoàn thành bài tập,Giao bài tập củng cố kiến thức sau mỗi buổi học
26,0.7852,Thấp,Có sự chuẩn bị bài trước khi lên lớp,Tăng cường thử thách nâng cao năng lực tư duy
27,0.1997,Cao,Đi học trễ quá nhiều lần gây mất nhịp học,Thiết lập điều kiện thi: yêu cầu >=70% buổi điểm danh
28,0.5142,Trung bình,Có tham dự nhưng thường về sớm,Gợi ý sinh viên ôn tập bằng video bài giảng
