id,conduct_score_pred,severity_level,reason_text,solution_text
1,0.9404,Tốt,Thực tế cho thấy Đạt giải cao trong cuộc thi học thuật cấp trường,Đề cử tham gia giải thưởng rèn luyện cấp trường và báo cáo minh chứng trên LMS
2,0.914,Tốt,"Trong học kỳ này, Đạt giải cao trong cuộc thi học thuật cấp trường",Xây dựng cẩm nang rèn luyện và chia sẻ rộng rãi và báo cáo minh chứng trên LMS
3,0.5295,Trung bình,Quan sát cho thấy Hoạt động phong trào thiếu tính liên tục. Cần tăng cường tham gia hoạt động có trọng điểm,"Vì vậy, đặt mục tiêu điểm rèn luyện từng giai đoạn"
4,0.7233,Thấp,Thực tế cho thấy Thực hiện nhật ký rèn luyện cá nhân đều đặn,Đảm nhận mentor cho nhóm sinh viên mới
5,0.9628,Tốt,"Theo ghi nhận, Được tuyên dương về điểm rèn luyện xuất sắc. Cần tăng cường tham gia hoạt động có trọng điểm","Từ đó, định hướng đề tài NCKH cho nhóm sinh viên và báo cáo minh chứng trên LMS"
6,0.9227,Tốt,"Trong học kỳ này, Thường xuyên tổ chức seminar chia sẻ học thuật","Từ đó, huấn luyện kỹ năng lãnh đạo cho khóa dưới và báo cáo minh chứng trên LMS"
7,0.2014,Cao,Không tham gia tập huấn kỹ năng mềm do Đoàn tổ chức,Đăng ký trực nhật/lực lượng hậu cần trong sự kiện và báo cáo minh chứng trên LMS
8,0.9751,Tốt,"Đáng chú ý, Là hạt nhân phong trào, tạo ảnh hưởng tích cực",Định hướng đề tài NCKH cho nhóm sinh viên và báo cáo minh chứng trên LMS
9,0.035,Cao,"Đáng chú ý, Chưa hoàn thành cam kết rèn luyện đầu kỳ. Ảnh hưởng trực tiếp tới điểm rèn luyện",Lập kế hoạch tham gia tối thiểu 3 hoạt động Đoàn–Hội trong tháng
10,0.5217,Trung bình,Tham gia câu lạc bộ học thuật nhưng ít hoạt động,Tham gia nhóm học tập tình nguyện cố định và báo cáo minh chứng trên LMS
11,0.9773,Tốt,Thực tế cho thấy Huấn luyện kỹ năng mềm cho các khóa dưới,Xây dựng mô hình CLB học thuật bền vững
12,0.8925,Tốt,"Theo ghi nhận, Được tuyên dương về điểm rèn luyện xuất sắc. Ảnh hưởng trực tiếp tới điểm rèn luyện",Kết nối doanh nghiệp tài trợ hoạt động sinh viên và báo cáo minh chứng trên LMS
13,0.5789,Trung bình,Có tham gia hội thảo học thuật nhưng chuẩn bị còn sơ sài. Cần tăng cường tham gia hoạt động có trọng điểm,Hoàn thiện minh chứng rèn luyện ngay sau mỗi hoạt động
14,0.5549,Trung bình,Thiếu kế hoạch rèn luyện theo tuần,Mở rộng tham gia cuộc thi học thuật cấp khoa và báo cáo minh chứng trên LMS
15,0.2319,Cao,"Trong học kỳ này, Bị nhắc nhở kỷ luật do đi học trễ nhiều lần. Cần tăng cường tham gia hoạt động có trọng điểm",Hoàn thành minh chứng rèn luyện và nộp trước hạn
16,0.1466,Cao,"Trong học kỳ này, Không đăng ký nhiệm vụ cộng đồng theo kế hoạch",Tham gia tập huấn kỹ năng mềm do Đoàn tổ chức và báo cáo minh chứng trên LMS
17,0.995,Tốt,"Trong học kỳ này, Đảm nhận vai trò bí thư hoặc lớp trưởng gương mẫu",Xây dựng mô hình CLB học thuật bền vững
