id,self_study_pred,severity_level,reason_text,solution_text
1,0.268,Cao,"Theo ghi nhận, Không sử dụng tài nguyên LMS/ebook của học phần",Mỗi buổi học phải có ghi chú và câu hỏi tổng kết
2,0.0951,Cao,Quan sát cho thấy Tổng thời gian tự học < 2 giờ/tuần trong 4 tuần liên tiếp,Hệ quả là thiết lập lịch cố định 30–45 phút/ngày và theo dõi trên LMS và cập nhật tiến độ mỗi tuần
3,0.9685,Tốt,Liên hệ thực tế/mini-project để khắc sâu kiến thức,Xây dựng guideline tự học cho môn tiếp theo
4,0.484,Trung bình,Thiếu kỹ thuật ghi chú và tổng hợp theo chương,"Từ đó, đưa thảo luận nhóm vào lịch cố định"
5,0.475,Trung bình,Thực tế cho thấy Kế hoạch học có nhưng ít theo dõi tiến độ. Ảnh hưởng tới hiệu quả tự học,Tạo bộ flashcards dùng chung với nhóm
6,0.822,Thấp,Có nhật ký học tập theo ngày. Cần điều chỉnh thói quen học,Chia sẻ phương pháp học với bạn cùng lớp
7,0.1021,Cao,"Trong học kỳ này, Không ghi chép và ôn lại sau mỗi buổi học",Mỗi buổi học phải có ghi chú và câu hỏi tổng kết
8,0.699,Thấp,Thực tế cho thấy Duy trì 5–7 giờ tự học/tuần khá đều. Ảnh hưởng tới hiệu quả tự học,Làm mini-project áp dụng kiến thức
9,0.7206,Thấp,Thực tế cho thấy Đặt câu hỏi và thảo luận trực tuyến khi gặp khó,Rèn luyện kỹ năng trình bày kiến thức đã học
10,0.4909,Trung bình,Thực tế cho thấy Thỉnh thoảng bỏ qua bài tập củng cố sau buổi học,Thiết lập mục tiêu SMART cho từng tuần
11,0.7545,Thấp,Giảm xao nhãng bằng kỹ thuật chặn mạng xã hội,Rèn luyện kỹ năng trình bày kiến thức đã học và cập nhật tiến độ mỗi tuần
12,0.6926,Thấp,Quan sát cho thấy Tham gia nhóm học tập nhỏ 3–4 người. Cần điều chỉnh thói quen học,Tăng cường vai trò trong nhóm học
13,0.9239,Tốt,Tự đánh giá và điều chỉnh chiến lược học kịp thời,"Từ đó, nâng cấp bộ flashcards/quiz và công bố cho lớp và cập nhật tiến độ mỗi tuần"
14,0.9107,Tốt,Tự thiết kế quiz/flashcards cho cả lớp sử dụng,Thử nghiệm phương pháp mới và đo lường hiệu quả và cập nhật tiến độ mỗi tuần
15,0.9281,Tốt,Thực tế cho thấy Lập báo cáo tiến độ tự học mỗi tuần. Cần điều chỉnh thói quen học,"Do đó, đề xuất workshop chia sẻ chiến lược tự học hiệu quả"
16,0.1317,Cao,Không ghi chép và ôn lại sau mỗi buổi học. Cần điều chỉnh thói quen học,Tham gia nhóm học tập và đặt mục tiêu chung
17,0.1939,Cao,"Không theo mục tiêu clo, tự học rời rạc",Mỗi buổi học phải có ghi chú và câu hỏi tổng kết
18,0.9019,Tốt,Xây dựng thư viện tài liệu số rõ ràng theo chương. Cần điều chỉnh thói quen học,Nâng cấp bộ flashcards/quiz và công bố cho lớp
19,0.1422,Cao,"Thực tế cho thấy Tập trung vào môn phụ, bỏ qua môn có CLO trọng số cao",Tham gia nhóm học tập và đặt mục tiêu chung
20,0.7281,Thấp,"Trong học kỳ này, Đặt câu hỏi và thảo luận trực tuyến khi gặp khó. Ảnh hưởng tới hiệu quả tự học",Bổ sung tài liệu tham khảo nâng cao
21,0.522,Trung bình,Thỉnh thoảng bị gián đoạn bởi hoạt động ngoại khóa. Ảnh hưởng tới hiệu quả tự học,Ghi chú Cornell và tổng hợp cuối tuần
22,0.5205,Trung bình,"Thời lượng tự học 3–4 giờ/tuần, chưa đủ cho môn có thực hành. Cần điều chỉnh thói quen học",Chuẩn hóa checklist theo chương và theo CLO
23,0.6137,Thấp,Quan sát cho thấy Tổng hợp tài liệu tham khảo cá nhân hóa,Cập nhật dashboard tiến độ công khai cho nhóm
24,0.7084,Thấp,Áp dụng Active Recall/Spaced Repetition trong ôn tập. Cần điều chỉnh thói quen học,Tối ưu thời gian bằng batch processing nhiệm vụ
25,0.5721,Trung bình,Thực tế cho thấy Kế hoạch học có nhưng ít theo dõi tiến độ,Ôn tập giãn cách (spaced) thay vì dồn trước kỳ thi và cập nhật tiến độ mỗi tuần
26,0.7248,Thấp,Ghi chú có cấu trúc theo chương và CLO. Cần điều chỉnh thói quen học,"Vì vậy, duy trì nhịp độ hiện tại và tăng nhẹ độ khó bài tập"
27,0.6956,Thấp,Phân bổ thời gian hợp lý giữa các môn. Cần điều chỉnh thói quen học,Duy trì nhịp độ hiện tại và tăng nhẹ độ khó bài tập
28,0.4836,Trung bình,Thực tế cho thấy Thỉnh thoảng bị gián đoạn bởi hoạt động ngoại khóa,Tăng tần suất quiz ngắn để tự đánh giá
29,0.4636,Trung bình,Quan sát cho thấy Chọn nội dung ôn tập chưa bám trọng tâm môn. Ảnh hưởng tới hiệu quả tự học,Xin phản hồi nhanh từ giảng viên qua LMS
30,0.5653,Trung bình,Thực tế cho thấy Thiếu kiểm tra nhanh (quiz) để tự đánh giá,Tạo bộ flashcards dùng chung với nhóm
31,0.2443,Cao,Thường xuyên sử dụng thiết bị số làm xao nhãng khi học. Cần điều chỉnh thói quen học,Sử dụng flashcards cho khái niệm trọng tâm
32,0.7054,Thấp,Thực tế cho thấy Tự làm quiz để theo dõi tiến bộ. Ảnh hưởng tới hiệu quả tự học,Làm mini-project áp dụng kiến thức và cập nhật tiến độ mỗi tuần
33,0.1602,Cao,Thực tế cho thấy Phân tán do làm thêm/thiếu không gian học tập yên tĩnh. Cần điều chỉnh thói quen học,"Xây dựng kế hoạch tuần bám CLO, có người phụ trách nhắc"
34,0.667,Thấp,Quan sát cho thấy Sử dụng LMS thường xuyên để xem lại nội dung,"Do đó, tăng cường vai trò trong nhóm học"
