id,subject_id,subject_name,teaching_method_code,teaching_method_name,teaching_method_pred,conduct_score_pred,severity_level,reason_text,solution_text
1,INF1383,Tin học cơ sở (Introduction to Informatics),TM1,Giải thích cụ thể (Explicit Teaching),0.9597,0.9309,Tốt,"[INF1383 - Tin học cơ sở (Introduction to Informatics)] Slide bài giảng dài, thiếu hoạt động xen kẽ",Thêm ví dụ minh hoạ
2,INF1502,Xử lý hậu kỳ,TM1,Giải thích cụ thể (Explicit Teaching),0.5381,0.2732,Cao,[INF1502 - Xử lý hậu kỳ] Sinh viên khó theo kịp tốc độ giảng,Chèn câu hỏi gợi mở
3,INF0103,Nhập môn Trí tuệ nhân tạo,TM1,Giải thích cụ thể (Explicit Teaching),0.8502,0.898,Tốt,[INF0103 - Nhập môn Trí tuệ nhân tạo] Giảng viên chưa gắn bài với thực tiễn,Dùng video mô phỏng
4,INF1453,Đồ họa máy tính,TM1,Giải thích cụ thể (Explicit Teaching),0.7311,0.4571,Trung bình,[INF1453 - Đồ họa máy tính] Giảng viên chưa gắn bài với thực tiễn,Thêm ví dụ minh hoạ
5,INF1393,Kiến trúc máy tính,TM1,Giải thích cụ thể (Explicit Teaching),0.8099,0.4887,Trung bình,"[INF1393 - Kiến trúc máy tính] Slide bài giảng dài, thiếu hoạt động xen kẽ",Thêm ví dụ minh hoạ
6,PLO0032,Tư tưởng Hồ Chí Minh,TM1,Giải thích cụ thể (Explicit Teaching),0.831,0.7048,Thấp,"[PLO0032 - Tư tưởng Hồ Chí Minh] Slide bài giảng dài, thiếu hoạt động xen kẽ",Chèn câu hỏi gợi mở
7,INF0893,Mật mã và An toàn thông tin,TM1,Giải thích cụ thể (Explicit Teaching),0.5951,0.5038,Trung bình,"[INF0893 - Mật mã và An toàn thông tin] Slide bài giảng dài, thiếu hoạt động xen kẽ",Chèn câu hỏi gợi mở
8,INF0073,Cấu trúc dữ liệu và giải thuật,TM1,Giải thích cụ thể (Explicit Teaching),0.6297,0.2647,Cao,"[INF0073 - Cấu trúc dữ liệu và giải thuật] Slide bài giảng dài, thiếu hoạt động xen kẽ",Thêm ví dụ minh hoạ
9,INF1473,Học sâu,TM1,Giải thích cụ thể (Explicit Teaching),0.7871,0.1641,Cao,"[INF1473 - Học sâu] Slide bài giảng dài, thiếu hoạt động xen kẽ",Dùng video mô phỏng
10,INF1433,Thiết kế minh hoạ,TM1,Giải thích cụ thể (Explicit Teaching),0.644,0.8041,Thấp,"[INF1433 - Thiết kế minh hoạ] Slide bài giảng dài, thiếu hoạt động xen kẽ",Thêm ví dụ minh hoạ
11,INF1403,Anh văn chuyên ngành CNTT,TM1,Giải thích cụ thể (Explicit Teaching),0.6712,0.2179,Cao,[INF1403 - Anh văn chuyên ngành CNTT] Giảng viên chưa gắn bài với thực tiễn,Thêm ví dụ minh hoạ
12,INF1403,Anh văn chuyên ngành CNTT,TM1,Giải thích cụ thể (Explicit Teaching),0.7258,0.6187,Thấp,[INF1403 - Anh văn chuyên ngành CNTT] Sinh viên khó theo kịp tốc độ giảng,Chèn câu hỏi gợi mở
13,INF0823,Thiết kế web (frontend),TM1,Giải thích cụ thể (Explicit Teaching),0.7093,0.5752,Trung bình,[INF0823 - Thiết kế web (frontend)] Sinh viên khó theo kịp tốc độ giảng,Thêm ví dụ minh hoạ
14,BSC0092,Phương pháp luận nghiên cứu khoa học,TM1,Giải thích cụ thể (Explicit Teaching),0.4782,0.6415,Thấp,"[BSC0092 - Phương pháp luận nghiên cứu khoa học] Slide bài giảng dài, thiếu hoạt động xen kẽ",Dùng video mô phỏng
15,INF0083,Cơ sở dữ liệu,TM1,Giải thích cụ thể (Explicit Teaching),0.8659,0.3586,Trung bình,"[INF0083 - Cơ sở dữ liệu] Slide bài giảng dài, thiếu hoạt động xen kẽ",Thêm ví dụ minh hoạ
16,INF0893,Mật mã và An toàn thông tin,TM1,Giải thích cụ thể (Explicit Teaching),0.4117,0.2904,Cao,"[INF0893 - Mật mã và An toàn thông tin] Slide bài giảng dài, thiếu hoạt động xen kẽ",Thêm ví dụ minh hoạ
17,INF0263,Mạng máy tính,TM1,Giải thích cụ thể (Explicit Teaching),0.5382,0.5008,Trung bình,"[INF0263 - Mạng máy tính] Slide bài giảng dài, thiếu hoạt động xen kẽ",Thêm ví dụ minh hoạ
18,INF1263,Kiểm thử phần mềm,TM1,Giải thích cụ thể (Explicit Teaching),0.8099,0.2178,Cao,[INF1263 - Kiểm thử phần mềm] Giảng viên chưa gắn bài với thực tiễn,Dùng video mô phỏng
19,INF0203,Lập trình hướng đối tượng và ứng dụng,TM1,Giải thích cụ thể (Explicit Teaching),0.9907,0.4394,Trung bình,[INF0203 - Lập trình hướng đối tượng và ứng dụng] Sinh viên khó theo kịp tốc độ giảng,Chèn câu hỏi gợi mở
20,INF1463,Khai phá dữ liệu,TM1,Giải thích cụ thể (Explicit Teaching),0.4748,0.1949,Cao,[INF1463 - Khai phá dữ liệu] Sinh viên khó theo kịp tốc độ giảng,Thêm ví dụ minh hoạ
21,INF1423,Thiết kế hình ảnh,TM1,Giải thích cụ thể (Explicit Teaching),0.5763,0.0725,Cao,[INF1423 - Thiết kế hình ảnh] Sinh viên khó theo kịp tốc độ giảng,Thêm ví dụ minh hoạ
